flow,velo,dia,t,material,Safety_Status
1904.623435,2.93,0.5,0.01509,19.3,LOW
1532.571088,2.93,0.45,0.01427,19.3,LOW
1533.860776,2.932,0.45,0.01427,22.5,LOW
1533.860776,2.932,0.45,0.01427,19.3,LOW
1535.885635,2.936,0.45,0.01427,22.5,LOW
1535.885635,2.936,0.45,0.01427,19.3,LOW
1909.646006,2.938,0.5,0.01509,22.5,LOW
1909.646006,2.938,0.5,0.01509,19.3,LOW
1912.858772,2.942,0.5,0.01509,22.5,LOW
1912.858772,2.942,0.5,0.01509,19.3,LOW
1917.477693,2.949,0.5,0.01509,22.5,LOW
1917.477693,2.949,0.5,0.01509,19.3,LOW
1546.216958,2.955,0.45,0.01427,22.5,LOW
1546.216958,2.955,0.45,0.01427,19.3,LOW
1226.46416,2.966,0.4,0.0127,22.5,LOW
1226.46416,2.966,0.4,0.0127,19.3,LOW
1945.184334,2.992,0.5,0.01509,22.5,LOW
1945.184334,2.992,0.5,0.01509,19.3,LOW
1947.407041,2.995,0.5,0.01509,22.5,LOW
1947.407041,2.995,0.5,0.01509,19.3,LOW
1962.084552,3.018,0.5,0.01509,22.5,LOW
1962.084552,3.018,0.5,0.01509,19.3,LOW
1585.390321,3.029,0.45,0.01427,22.5,LOW
1585.390321,3.029,0.45,0.01427,19.3,LOW
1974.818398,3.038,0.5,0.01509,22.5,LOW
1974.818398,3.038,0.5,0.01509,19.3,LOW
1590.853622,3.041,0.45,0.01427,22.5,LOW
1590.853622,3.041,0.45,0.01427,19.3,LOW
1992.367429,3.064,0.5,0.01509,22.5,LOW
1992.367429,3.064,0.5,0.01509,19.3,LOW
1998.070068,3.073,0.5,0.01509,22.5,LOW
1998.070068,3.073,0.5,0.01509,19.3,LOW
1272.038671,3.077,0.4,0.0127,22.5,LOW
1272.038671,3.077,0.4,0.0127,19.3,LOW
2002.626422,3.081,0.5,0.01509,22.5,LOW
2002.626422,3.081,0.5,0.01509,19.3,LOW
2011.021438,3.093,0.5,0.01509,22.5,LOW
2011.021438,3.093,0.5,0.01509,19.3,LOW
2017.598056,3.104,0.5,0.01509,22.5,LOW
2017.598056,3.104,0.5,0.01509,19.3,LOW
2019.828256,3.107,0.5,0.01509,22.5,LOW
2020.28654,3.107,0.5,0.01509,22.5,LOW
2019.780691,3.107,0.5,0.01509,22.5,LOW
2019.828256,3.107,0.5,0.01509,19.3,LOW
2020.28654,3.107,0.5,0.01509,19.3,LOW
2019.780691,3.107,0.5,0.01509,19.3,LOW
2030.866614,3.124,0.5,0.01509,22.5,LOW
2030.866614,3.124,0.5,0.01509,19.3,LOW
2032.122365,3.125,0.5,0.01509,22.5,LOW
2032.122365,3.125,0.5,0.01509,19.3,LOW
2034.303286,3.129,0.5,0.01509,22.5,LOW
2034.303286,3.129,0.5,0.01509,19.3,LOW
2037.302097,3.133,0.5,0.01509,22.5,LOW
2037.302097,3.133,0.5,0.01509,19.3,LOW
2038.205194,3.135,0.5,0.01509,22.5,LOW
2038.205194,3.135,0.5,0.01509,19.3,LOW
2046.235453,3.147,0.5,0.01509,22.5,LOW
2046.235453,3.147,0.5,0.01509,19.3,LOW
2050.824485,3.155,0.5,0.01509,22.5,LOW
2051.294406,3.155,0.5,0.01509,22.5,LOW
2050.824485,3.155,0.5,0.01509,19.3,LOW
2051.294406,3.155,0.5,0.01509,19.3,LOW
1651.495253,3.156,0.45,0.01427,22.5,LOW
1651.495253,3.156,0.45,0.01427,19.3,LOW
2062.332024,3.172,0.5,0.01509,22.5,LOW
2062.332024,3.172,0.5,0.01509,19.3,LOW
2063.042889,3.173,0.5,0.01509,22.5,LOW
1660.305715,3.173,0.45,0.01427,22.5,LOW
2063.042889,3.173,0.5,0.01509,19.3,LOW
1660.305715,3.173,0.45,0.01427,19.3,LOW
2066.634613,3.179,0.5,0.01509,22.5,LOW
2066.634613,3.179,0.5,0.01509,19.3,LOW
1666.84172,3.186,0.45,0.01427,22.5,LOW
1666.84172,3.186,0.45,0.01427,19.3,LOW
2078.015484,3.196,0.5,0.01509,22.5,LOW
2078.015484,3.196,0.5,0.01509,19.3,LOW
2095.436567,3.222,0.5,0.01509,22.5,LOW
2095.436567,3.222,0.5,0.01509,19.3,LOW
2101.720717,3.233,0.5,0.01509,22.5,LOW
2101.720717,3.233,0.5,0.01509,19.3,LOW
2107.326358,3.241,0.5,0.01509,22.5,LOW
2107.326358,3.241,0.5,0.01509,19.3,LOW
1347.447146,3.259,0.4,0.0127,22.5,LOW
1347.447146,3.259,0.4,0.0127,19.3,LOW
2122.694645,3.265,0.5,0.01509,22.5,LOW
2122.694645,3.265,0.5,0.01509,19.3,LOW
1709.789296,3.268,0.45,0.01427,22.5,LOW
1709.789296,3.268,0.45,0.01427,19.3,LOW
2126.002268,3.27,0.5,0.01509,22.5,LOW
2126.002268,3.27,0.5,0.01509,19.3,LOW
1713.913085,3.276,0.45,0.01427,22.5,LOW
1713.913085,3.276,0.45,0.01427,19.3,LOW
1716.166466,3.28,0.45,0.01427,22.5,LOW
1716.166466,3.28,0.45,0.01427,19.3,LOW
2133.145073,3.281,0.5,0.01509,22.5,LOW
2133.145073,3.281,0.5,0.01509,19.3,LOW
1717.637829,3.284,0.45,0.01427,22.5,LOW
1717.637829,3.284,0.45,0.01427,19.3,LOW
2136.67283,3.287,0.5,0.01509,22.5,LOW
2136.67283,3.287,0.5,0.01509,19.3,LOW
2139.660025,3.292,0.5,0.01509,22.5,LOW
2139.660025,3.292,0.5,0.01509,19.3,LOW
2140.598775,3.293,0.5,0.01509,22.5,LOW
2140.598775,3.293,0.5,0.01509,19.3,LOW
1724.643748,3.297,0.45,0.01427,22.5,LOW
1724.643748,3.297,0.45,0.01427,19.3,LOW
2151.550426,3.31,0.5,0.01509,22.5,LOW
1732.364917,3.31,0.45,0.01427,22.5,LOW
2151.550426,3.31,0.5,0.01509,19.3,LOW
1732.364917,3.31,0.45,0.01427,19.3,LOW
2153.159199,3.312,0.5,0.01509,22.5,LOW
2153.159199,3.312,0.5,0.01509,19.3,LOW
2164.065826,3.329,0.5,0.01509,22.5,LOW
2164.065826,3.329,0.5,0.01509,19.3,LOW
2168.288081,3.335,0.5,0.01509,22.5,LOW
2168.288081,3.335,0.5,0.01509,19.3,LOW
2177.177994,3.349,0.5,0.01509,22.5,LOW
2177.177994,3.349,0.5,0.01509,19.3,LOW
2177.696822,3.35,0.5,0.01509,22.5,LOW
2177.696822,3.35,0.5,0.01509,19.3,LOW
2179.676177,3.353,0.5,0.01509,22.5,LOW
2179.676177,3.353,0.5,0.01509,19.3,LOW
2180.682061,3.355,0.5,0.01509,22.5,LOW
2180.682061,3.355,0.5,0.01509,19.3,LOW
1758.49277,3.36,0.45,0.01427,22.5,LOW
1758.49277,3.36,0.45,0.01427,19.3,LOW
2189.924049,3.369,0.5,0.01509,22.5,LOW
2189.924049,3.369,0.5,0.01509,19.3,LOW
2192.449194,3.372,0.5,0.01509,22.5,LOW
2192.449194,3.372,0.5,0.01509,19.3,LOW
1776.110284,3.375,0.45,0.01427,22.5,LOW
1776.110284,3.375,0.45,0.01427,19.3,LOW
2197.483994,3.379,0.5,0.01509,22.5,LOW
2197.483994,3.379,0.5,0.01509,19.3,LOW
2200.609571,3.385,0.5,0.01509,22.5,LOW
2200.609571,3.385,0.5,0.01509,19.3,LOW
2204.064455,3.39,0.5,0.01509,22.5,LOW
2204.064455,3.39,0.5,0.01509,19.3,LOW
1777.8618,3.398,0.45,0.01427,22.5,LOW
1777.8618,3.398,0.45,0.01427,19.3,LOW
2214.51516,3.407,0.5,0.01509,22.5,LOW
2214.51516,3.407,0.5,0.01509,19.3,LOW
1410.097349,3.411,0.4,0.0127,22.5,LOW
1410.097349,3.411,0.4,0.0127,19.3,LOW
2217.581023,3.412,0.5,0.01509,22.5,LOW
2217.581023,3.412,0.5,0.01509,19.3,LOW
2219.981663,3.415,0.5,0.01509,22.5,LOW
2219.981663,3.415,0.5,0.01509,19.3,LOW
